#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
 493    -6.108167   -0.14061964E+00
 494    -6.107167   -0.14088470E+00
 495    -6.106167   -0.14114176E+00
 496    -6.105167   -0.14139118E+00
 497    -6.104167   -0.14163332E+00
 498    -6.103167   -0.14186857E+00
 499    -6.102167   -0.14209728E+00
 500    -6.101167   -0.14231984E+00
 501    -6.100167   -0.14253662E+00
 502    -6.099167   -0.14274798E+00
 503    -6.098167   -0.14295430E+00
 504    -6.097167   -0.14315595E+00
 505    -6.096167   -0.14335330E+00
 506    -6.095167   -0.14354671E+00
 507    -6.094167   -0.14373654E+00
 508    -6.093167   -0.14392315E+00
 509    -6.092167   -0.14410689E+00
 510    -6.091167   -0.14428811E+00
 511    -6.090167   -0.14446714E+00
 512    -6.089167   -0.14464432E+00
 513    -6.088167   -0.14481998E+00
 514    -6.087167   -0.14499443E+00
 515    -6.086167   -0.14516799E+00
 516    -6.085167   -0.14534096E+00
 517    -6.084167   -0.14551362E+00
 518    -6.083167   -0.14568627E+00
 519    -6.082167   -0.14585918E+00
 520    -6.081167   -0.14603261E+00
 521    -6.080167   -0.14620682E+00
 522    -6.079167   -0.14638204E+00
 523    -6.078167   -0.14655851E+00
 524    -6.077167   -0.14673644E+00
 525    -6.076167   -0.14691605E+00
 526    -6.075167   -0.14709752E+00
 527    -6.074167   -0.14728104E+00
 528    -6.073167   -0.14746679E+00
 529    -6.072167   -0.14765490E+00
 530    -6.071167   -0.14784554E+00
 531    -6.070167   -0.14803883E+00
 532    -6.069167   -0.14823489E+00
 533    -6.068167   -0.14843382E+00
 534    -6.067167   -0.14863572E+00
 535    -6.066167   -0.14884066E+00
 536    -6.065167   -0.14904871E+00
 537    -6.064167   -0.14925991E+00
 538    -6.063167   -0.14947431E+00
 539    -6.062167   -0.14969194E+00
 540    -6.061167   -0.14991279E+00
 541    -6.060167   -0.15013687E+00
 542    -6.059167   -0.15036417E+00
 543    -6.058167   -0.15059466E+00
 544    -6.057167   -0.15082829E+00
 545    -6.056167   -0.15106501E+00
 546    -6.055167   -0.15130476E+00
 547    -6.054167   -0.15154746E+00
 548    -6.053167   -0.15179301E+00
 549    -6.052167   -0.15204133E+00
 550    -6.051167   -0.15229228E+00
 551    -6.050167   -0.15254576E+00
 552    -6.049167   -0.15280162E+00
 553    -6.048167   -0.15305971E+00
 554    -6.047167   -0.15331988E+00
 555    -6.046167   -0.15358197E+00
 556    -6.045167   -0.15384580E+00
 557    -6.044167   -0.15411117E+00
 558    -6.043167   -0.15437790E+00
